feature,importance
PortfolioMeanClients,2352.0
PortfolioMeanBudget,2039.0
PortfolioMeanRetention,1724.0
PortfolioMeanSales,1639.0
PortfolioStdBudget,1534.0
PortfolioMeanSuccessScore,1365.0
PortfolioStdSuccessScore,1326.0
ActiveCompanies,1313.0
OriginCity,1185.0
PopulationPerCompany,1002.0
AreaPerCompany,934.0
PortfolioActiveRate,875.0
TotalPopulationAround,867.0
LandlordAge,788.0
PortfolioSize,756.0
PopulationDensity,692.0
OriginCountry,654.0
PreferredIndustry,537.0
Area,534.0
