bin,n,mean_pred,mean_actual,lift
1,1484,0.4772880332248086,0.47807198334725987,1.097725657510099
2,1484,0.4636580847815181,0.46316054575878446,1.0634867391015712
3,1484,0.4566361111401686,0.45746912985583743,1.0504183864646257
4,1484,0.4511346613304505,0.45082320282345173,1.0351583317542232
5,1484,0.44600345880907266,0.44606139955680885,1.024224510480676
6,1484,0.4387018373088199,0.4379832217175379,1.0056757910639682
7,1484,0.42883676629641093,0.42913129764435876,0.985350433143126
8,1484,0.41686116733950784,0.41750231954232453,0.9586485387048702
9,1483,0.4014572821257775,0.4025503095947162,0.9243164600168084
10,1483,0.3733969397666607,0.37229528366061493,0.8548463396304141
