bin,n,mean_pred,mean_actual,lift
1,1484,0.47734290477882496,0.47818333530866963,1.0979813384730324
2,1484,0.46361694852457536,0.46311091190010373,1.0633727722470956
3,1484,0.4565377453306936,0.45740123387369175,1.0502624870096495
4,1484,0.451062038440428,0.4510654795568206,1.0357146358165836
5,1484,0.44604256214960564,0.4458036659753421,1.0236327151547981
6,1484,0.43886457907784016,0.43836810016300964,1.0065595302483037
7,1484,0.42888076023030475,0.4292676812194243,0.9856635904809901
8,1484,0.41692763093025537,0.41704336806163605,0.9575947166164547
9,1483,0.40153622655392657,0.40228737823328675,0.9237127298011528
10,1483,0.3734244989006405,0.37251751178165043,0.8553566090433443
