fold,mae,rmse,r2,spearman,n_val
0,0.012055312241772148,0.016387072040317818,0.7751260077326392,0.8617343194800817,2968
1,0.012292760274359443,0.016715974135291314,0.7801170544215349,0.8751708917940577,2968
2,0.01182269694975989,0.01610135257056191,0.7789757020249034,0.8707225811132276,2968
3,0.011674340066305458,0.01573942510811256,0.7825787755172362,0.8744954683015873,2967
4,0.011760833668172052,0.01570051971188477,0.7852064803907057,0.8713372483915544,2967
