continue_max_risk,nogo_min_risk,min_interval_confidence,n,Continue,Review,No-Go,continue_pct,review_pct,nogo_pct,is_config_default
0.2,0.6,0.3,97,0,66,31,0.0,68.04,31.96,false
0.2,0.7,0.3,97,0,70,27,0.0,72.16,27.84,false
0.2,0.8,0.3,97,0,77,20,0.0,79.38,20.62,false
0.3,0.6,0.3,97,0,66,31,0.0,68.04,31.96,false
0.3,0.7,0.3,97,0,70,27,0.0,72.16,27.84,false
0.3,0.8,0.3,97,0,77,20,0.0,79.38,20.62,false
0.4,0.6,0.3,97,9,57,31,9.28,58.76,31.96,false
0.4,0.7,0.3,97,9,61,27,9.28,62.89,27.84,false
0.4,0.8,0.3,97,9,68,20,9.28,70.1,20.62,false
0.5,0.6,0.3,97,40,26,31,41.24,26.8,31.96,false
0.5,0.7,0.3,97,40,30,27,41.24,30.93,27.84,false
0.5,0.8,0.3,97,40,37,20,41.24,38.14,20.62,false
0.2,0.6,0.5,97,0,86,11,0.0,88.66,11.34,false
0.2,0.7,0.5,97,0,86,11,0.0,88.66,11.34,false
0.2,0.8,0.5,97,0,87,10,0.0,89.69,10.31,false
0.3,0.6,0.5,97,0,86,11,0.0,88.66,11.34,false
0.3,0.7,0.5,97,0,86,11,0.0,88.66,11.34,true
0.3,0.8,0.5,97,0,87,10,0.0,89.69,10.31,false
0.4,0.6,0.5,97,3,83,11,3.09,85.57,11.34,false
0.4,0.7,0.5,97,3,83,11,3.09,85.57,11.34,false
0.4,0.8,0.5,97,3,84,10,3.09,86.6,10.31,false
0.5,0.6,0.5,97,12,74,11,12.37,76.29,11.34,false
0.5,0.7,0.5,97,12,74,11,12.37,76.29,11.34,false
0.5,0.8,0.5,97,12,75,10,12.37,77.32,10.31,false
0.2,0.6,0.7,97,0,96,1,0.0,98.97,1.03,false
0.2,0.7,0.7,97,0,96,1,0.0,98.97,1.03,false
0.2,0.8,0.7,97,0,97,0,0.0,100.0,0.0,false
0.3,0.6,0.7,97,0,96,1,0.0,98.97,1.03,false
0.3,0.7,0.7,97,0,96,1,0.0,98.97,1.03,false
0.3,0.8,0.7,97,0,97,0,0.0,100.0,0.0,false
0.4,0.6,0.7,97,3,93,1,3.09,95.88,1.03,false
0.4,0.7,0.7,97,3,93,1,3.09,95.88,1.03,false
0.4,0.8,0.7,97,3,94,0,3.09,96.91,0.0,false
0.5,0.6,0.7,97,12,84,1,12.37,86.6,1.03,false
0.5,0.7,0.7,97,12,84,1,12.37,86.6,1.03,false
0.5,0.8,0.7,97,12,85,0,12.37,87.63,0.0,false
